Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,No. of contracts  ,Open Int  ,Change in OI  ,Underlying Value  
03-Apr-2023,06-Apr-2023,CE,33500.00,-,-,-,7128.20,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,34000.00,6601.00,6601.00,6601.00,6601.00,1.00,100.00,25.00,40813.05
03-Apr-2023,06-Apr-2023,CE,34500.00,-,-,-,6146.15,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,35000.00,5601.00,5601.00,5601.00,5601.00,1.00,225.00,25.00,40813.05
03-Apr-2023,06-Apr-2023,CE,35500.00,-,-,-,5119.95,-,50.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,36000.00,-,-,-,3930.00,-,100.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,36500.00,4217.30,4217.30,4217.30,4217.30,1.00,50.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,36900.00,-,-,-,3889.20,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37000.00,3634.00,3709.10,3633.25,3709.10,4.00,625.00,50.00,40813.05
03-Apr-2023,06-Apr-2023,CE,37100.00,-,-,-,3490.35,-,250.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37200.00,-,-,-,3449.40,-,250.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37300.00,-,-,-,3540.70,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37400.00,-,-,-,2493.75,-,125.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37500.00,-,-,-,3092.75,-,2250.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37600.00,-,-,-,3287.20,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37700.00,-,-,-,3204.40,-,-,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37800.00,-,-,-,1656.00,-,25.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,37900.00,-,-,-,1988.75,-,25.00,-,40813.05
03-Apr-2023,06-Apr-2023,CE,38000.00,2651.90,2841.50,2578.65,2819.95,1309.00,77350.00,-13400.00,40813.05
03-Apr-2023,06-Apr-2023,CE,38100.00,2630.30,2630.30,2630.30,2630.30,1.00,175.00,-25.00,40813.05
03-Apr-2023,06-Apr-2023,CE,38200.00,2430.00,2490.00,2430.00,2490.00,4.00,1825.00,-25.00,40813.05
