Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,No. of contracts  ,Open Int  ,Change in OI  ,Underlying Value  
03-Apr-2023,06-Apr-2023,PE,33500.00,2.45,2.75,1.30,1.40,216508.00,824825.00,205325.00,40813.05
03-Apr-2023,06-Apr-2023,PE,34000.00,2.95,3.00,1.40,1.55,74626.00,269100.00,22575.00,40813.05
03-Apr-2023,06-Apr-2023,PE,34500.00,3.05,3.20,1.65,1.85,47432.00,207825.00,12125.00,40813.05
03-Apr-2023,06-Apr-2023,PE,35000.00,2.90,3.35,1.75,1.90,60487.00,343900.00,-81450.00,40813.05
03-Apr-2023,06-Apr-2023,PE,35500.00,4.00,4.00,1.95,2.20,53917.00,238700.00,-4250.00,40813.05
03-Apr-2023,06-Apr-2023,PE,36000.00,4.90,4.90,1.95,2.25,92951.00,452125.00,-81500.00,40813.05
03-Apr-2023,06-Apr-2023,PE,36500.00,3.95,4.35,2.05,2.40,102600.00,290650.00,-87450.00,40813.05
03-Apr-2023,06-Apr-2023,PE,36900.00,5.00,5.00,2.15,2.65,20694.00,61375.00,-1200.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37000.00,4.70,5.10,2.15,2.60,219982.00,910875.00,-140750.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37100.00,4.45,5.45,2.40,2.75,18069.00,49600.00,-14925.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37200.00,6.00,6.00,2.40,2.80,32639.00,75425.00,-9750.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37300.00,6.00,6.00,2.55,2.90,31530.00,66325.00,-5675.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37400.00,5.60,6.15,2.60,2.90,41228.00,89300.00,-10575.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37500.00,6.95,6.95,2.60,3.05,283523.00,1044900.00,199225.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37600.00,6.20,6.75,2.80,3.10,47607.00,147450.00,15150.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37700.00,7.40,7.40,2.15,3.20,48280.00,132075.00,-2000.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37800.00,6.95,7.50,3.20,3.45,80912.00,113475.00,-66850.00,40813.05
03-Apr-2023,06-Apr-2023,PE,37900.00,9.00,9.00,2.40,3.70,62332.00,163400.00,74550.00,40813.05
03-Apr-2023,06-Apr-2023,PE,38000.00,8.95,8.95,3.55,3.85,446150.00,2165600.00,646000.00,40813.05
03-Apr-2023,06-Apr-2023,PE,38100.00,8.35,8.90,3.35,3.80,87211.00,127400.00,10575.00,40813.05
03-Apr-2023,06-Apr-2023,PE,38200.00,10.60,11.25,3.60,3.95,75409.00,144475.00,-17700.00,40813.05
